iter	Passed	Remaining
248	338	1021
249	339	1018
250	340	1015
251	340	1011
252	341	1008
253	342	1005
254	343	1002
255	343	999
256	344	996
257	345	993
258	346	990
259	346	987
260	347	984
261	348	981
262	348	977
263	349	974
264	350	971
265	350	968
266	351	965
267	352	962
268	353	959
269	353	956
270	354	953
271	355	950
272	355	947
273	356	944
274	357	941
275	357	938
276	358	935
277	359	933
278	360	930
279	360	927
280	361	924
281	362	922
282	362	919
283	363	916
284	364	913
285	364	910
286	365	907
287	366	905
288	366	902
289	367	900
290	368	897
291	368	894
292	369	891
293	370	889
294	370	886
295	371	883
296	372	881
297	372	878
298	373	876
299	374	873
300	375	871
301	375	868
302	376	866
303	377	863
304	377	860
305	378	858
306	379	855
307	379	853
308	380	850
309	381	848
310	381	846
311	382	843
312	383	841
313	383	838
314	384	836
315	385	833
316	385	831
317	386	829
318	387	827
319	388	825
320	389	823
321	389	820
322	390	818
323	391	816
324	391	814
325	392	811
326	393	809
327	393	806
328	394	804
329	395	802
330	395	800
331	396	797
332	397	795
333	397	793
334	398	791
335	399	788
336	399	786
337	400	784
338	401	782
339	402	780
340	402	778
341	403	776
342	404	774
343	405	772
344	405	770
345	406	768
346	407	766
347	408	764
348	408	762
349	409	760
350	410	758
351	410	756
352	411	754
353	412	752
354	412	749
355	413	747
356	414	745
357	414	743
358	415	741
359	416	739
360	416	737
361	417	736
362	418	734
363	419	732
364	419	730
365	420	728
366	421	726
367	422	725
368	422	723
369	423	721
370	424	719
371	424	717
372	425	715
373	426	713
374	426	711
375	427	709
376	428	707
377	428	705
378	429	703
379	430	702
380	431	700
381	431	698
382	432	696
383	433	694
384	434	693
385	434	691
386	435	689
387	435	687
388	436	685
389	437	684
390	438	682
391	438	680
392	439	678
393	440	677
394	440	675
395	441	673
396	442	671
397	442	669
398	443	668
399	444	666
400	444	664
401	445	662
402	446	660
403	446	659
404	447	657
405	448	656
406	449	654
407	449	652
408	450	651
409	451	649
410	452	648
411	452	646
412	453	644
413	454	643
414	454	641
415	455	639
416	456	637
417	457	636
418	457	634
419	458	632
420	459	631
421	459	629
422	460	627
423	460	626
424	461	624
425	462	623
426	463	621
427	463	620
428	464	618
429	465	617
430	466	615
431	467	614
432	467	612
433	468	611
434	469	609
435	469	607
436	470	606
437	471	604
438	471	603
439	472	601
440	473	599
441	473	598
442	474	596
443	475	595
444	475	593
445	476	592
446	477	590
447	478	589
448	479	588
449	479	586
450	480	585
451	481	583
452	482	582
453	483	581
454	484	579
455	484	578
456	485	577
457	486	575
458	487	574
459	488	573
460	489	571
461	489	570
462	490	568
463	491	567
464	492	566
465	493	565
466	493	563
467	494	562
468	495	561
469	496	559
470	497	558
471	497	556
472	498	555
473	499	554
474	500	552
475	500	551
476	501	550
477	502	548
478	503	547
479	503	545
480	504	544
481	505	543
482	506	541
483	507	540
484	508	539
485	508	538
486	509	536
487	510	535
